# STCG residual history
# residual tolerance target = 9.500000e-04
# initial residual norm     = 7.571146e+00
# iters            rel. res.
     11            8.534262e-02
     12            8.227600e-02
     13            7.410260e-02
     14            7.241674e-02
     15            6.141220e-02
     16            6.069047e-02
     17            4.988603e-02
     18            4.952416e-02
     19            4.446014e-02
     20            4.424896e-02
     21            4.103686e-02
     22            4.072828e-02
     23            3.592821e-02
     24            3.587558e-02
     25            2.993058e-02
# GCROT residual history
# residual tolerance target = 9.500000e-04
# initial residual norm     = 3.407152e+00
# iters            rel. res.
      0            9.996688e-01
      1            9.996008e-01
      2            8.324550e-01
      3            8.324439e-01
      4            7.591229e-01
      5            7.509205e-01
      6            7.370128e-01
      7            7.298638e-01
      8            7.249394e-01
      9            7.176375e-01
     10            7.152529e-01
     11            6.856181e-01
     12            6.853608e-01
     13            6.670815e-01
     14            6.600741e-01
     15            6.544508e-01
     16            6.355892e-01
     17            6.117918e-01
     18            6.047306e-01
     19            6.045743e-01
     20            5.372771e-01
     21            5.372770e-01
     22            5.052414e-01
     23            5.050708e-01
     24            5.049055e-01
     25            4.948396e-01
# GCROT residual history
# residual tolerance target = 1.000000e-04
# initial residual norm     = 1.413450e+00
# iters            rel. res.
      0            9.725985e-01
      1            9.677740e-01
      2            7.769755e-01
      3            7.335911e-01
      4            6.349826e-01
      5            6.005345e-01
      6            5.838564e-01
      7            5.488007e-01
      8            5.438031e-01
      9            4.968101e-01
     10            4.966073e-01
     11            4.964851e-01
     12            4.559139e-01
     13            4.536968e-01
     14            4.300371e-01
     15            4.169044e-01
     16            4.139986e-01
     17            4.011934e-01
     18            4.008753e-01
     19            3.832950e-01
     20            3.829360e-01
     21            3.827869e-01
     22            3.656288e-01
     23            3.641348e-01
     24            3.416554e-01
     25            3.416389e-01
# GCROT residual history
# residual tolerance target = 1.000000e-04
# initial residual norm     = 4.607153e-01
# iters            rel. res.
      0            3.074131e-01
      1            3.037211e-01
      2            2.845893e-01
      3            2.757023e-01
      4            2.699900e-01
      5            2.488594e-01
      6            2.453956e-01
      7            2.405063e-01
      8            2.346328e-01
      9            2.294498e-01
     10            2.245181e-01
     11            2.231437e-01
     12            2.170588e-01
     13            2.087650e-01
     14            2.049225e-01
     15            1.972769e-01
     16            1.957808e-01
     17            1.893014e-01
     18            1.863449e-01
     19            1.747700e-01
     20            1.745931e-01
     21            1.744855e-01
     22            1.540107e-01
     23            1.494171e-01
     24            1.354096e-01
     25            1.330164e-01
# GCROT residual history
# residual tolerance target = 1.000000e-04
# initial residual norm     = 1.482071e+00
# iters            rel. res.
      0            9.208395e-01
      1            9.194031e-01
      2            5.637048e-01
      3            5.605919e-01
      4            4.271689e-01
      5            4.243795e-01
      6            4.217839e-01
      7            3.730734e-01
      8            3.714392e-01
      9            3.080809e-01
     10            3.045171e-01
     11            3.031056e-01
     12            2.413359e-01
     13            2.137472e-01
     14            1.969443e-01
     15            1.879414e-01
     16            1.825202e-01
     17            1.741857e-01
     18            1.660506e-01
     19            1.497798e-01
     20            1.489069e-01
     21            1.483637e-01
     22            1.364148e-01
     23            1.364003e-01
     24            1.301907e-01
     25            1.296442e-01
# GCROT residual history
# residual tolerance target = 1.000000e-04
# initial residual norm     = 7.343445e-01
# iters            rel. res.
      0            4.106658e-01
      1            3.964100e-01
      2            3.215485e-01
      3            3.161274e-01
      4            2.552744e-01
      5            2.285604e-01
      6            2.142966e-01
      7            1.910403e-01
      8            1.910403e-01
      9            1.628416e-01
     10            1.621253e-01
     11            1.614253e-01
     12            1.447857e-01
     13            1.446583e-01
     14            1.266380e-01
     15            1.216698e-01
     16            1.188815e-01
     17            1.080696e-01
     18            1.076869e-01
     19            9.979191e-02
     20            9.970143e-02
     21            9.961855e-02
     22            9.332093e-02
     23            9.319923e-02
     24            8.831204e-02
     25            8.726084e-02
# GCROT residual history
# residual tolerance target = 1.000000e-04
# initial residual norm     = 1.718524e+00
# iters            rel. res.
      0            8.551109e-01
      1            8.547578e-01
      2            6.005780e-01
      3            5.990548e-01
      4            5.057257e-01
      5            5.056637e-01
      6            5.056050e-01
      7            4.648014e-01
      8            4.627918e-01
      9            4.334477e-01
     10            4.330248e-01
     11            4.329692e-01
     12            2.675464e-01
     13            2.669612e-01
     14            2.324568e-01
     15            2.324402e-01
     16            2.324284e-01
     17            2.034287e-01
     18            2.033525e-01
     19            1.633102e-01
     20            1.580102e-01
     21            1.558875e-01
     22            1.254817e-01
     23            1.202242e-01
     24            1.136194e-01
     25            1.051028e-01
# GCROT residual history
# residual tolerance target = 1.000000e-04
# initial residual norm     = 1.165822e+00
# iters            rel. res.
      0            5.092580e-01
      1            4.920139e-01
      2            3.224854e-01
      3            3.215464e-01
      4            2.165886e-01
      5            2.122061e-01
      6            2.083299e-01
      7            1.728971e-01
      8            1.667901e-01
      9            1.358518e-01
     10            1.358324e-01
     11            1.358145e-01
     12            1.209461e-01
     13            1.199682e-01
     14            1.070395e-01
     15            1.069991e-01
     16            1.069598e-01
     17            9.676791e-02
     18            9.649849e-02
     19            8.276611e-02
     20            8.184837e-02
     21            8.124053e-02
     22            7.387896e-02
     23            7.385930e-02
     24            6.894798e-02
     25            6.739288e-02
# GCROT residual history
# residual tolerance target = 1.000000e-04
# initial residual norm     = 2.242068e+00
# iters            rel. res.
      0            8.584098e-01
      1            8.584034e-01
      2            5.978317e-01
      3            5.955940e-01
      4            4.621997e-01
      5            4.587500e-01
      6            4.555342e-01
      7            4.087735e-01
      8            4.054634e-01
      9            3.692339e-01
     10            3.674900e-01
     11            3.664797e-01
     12            3.190012e-01
     13            3.082988e-01
     14            2.770733e-01
     15            2.655624e-01
     16            2.571963e-01
     17            2.410823e-01
     18            2.276572e-01
     19            2.077060e-01
     20            1.943328e-01
     21            1.838413e-01
     22            1.731988e-01
     23            1.543021e-01
     24            1.513225e-01
     25            1.310813e-01
# GCROT residual history
# residual tolerance target = 1.000000e-04
# initial residual norm     = 1.255200e+00
# iters            rel. res.
      0            4.795182e-01
      1            4.449176e-01
      2            3.014397e-01
      3            3.013786e-01
      4            2.009553e-01
      5            1.913032e-01
      6            1.832593e-01
      7            1.435717e-01
      8            1.426331e-01
      9            1.038779e-01
     10            9.932584e-02
     11            9.601537e-02
     12            8.222654e-02
     13            8.210446e-02
     14            6.988323e-02
     15            6.804748e-02
     16            6.639214e-02
     17            6.024054e-02
     18            6.005648e-02
     19            5.440486e-02
     20            5.374672e-02
     21            5.314641e-02
     22            4.912432e-02
     23            4.838612e-02
     24            4.519365e-02
     25            4.150854e-02
# Subspace cleared!
# GCROT residual history
# residual tolerance target = 9.500000e-04
# initial residual norm     = 8.300609e-01
# iters            rel. res.
      0            1.000000e+00
      1            9.834805e-01
      2            6.985558e-01
      3            6.779810e-01
      4            5.626364e-01
      5            5.231409e-01
      6            4.740537e-01
      7            4.519717e-01
      8            4.093491e-01
      9            3.344398e-01
     10            3.265568e-01
     11            3.207700e-01
     12            3.032287e-01
     13            2.974440e-01
     14            2.723847e-01
     15            2.641649e-01
     16            2.490887e-01
     17            2.405916e-01
     18            2.223050e-01
     19            2.089628e-01
     20            1.995211e-01
     21            1.919801e-01
     22            1.857830e-01
     23            1.684237e-01
     24            1.642348e-01
     25            1.412562e-01
# GCROT residual history
# residual tolerance target = 9.500000e-04
# initial residual norm     = 3.761261e+00
# iters            rel. res.
      0            9.577067e-01
      1            9.548026e-01
      2            8.457785e-01
      3            7.968179e-01
      4            7.489050e-01
      5            7.080644e-01
      6            6.548859e-01
      7            6.391335e-01
      8            6.283676e-01
      9            6.139476e-01
     10            5.947587e-01
     11            5.771264e-01
     12            5.587276e-01
     13            5.582266e-01
     14            5.577436e-01
     15            5.499755e-01
     16            5.489547e-01
     17            5.382025e-01
     18            5.381943e-01
     19            5.381863e-01
     20            5.329626e-01
     21            5.329064e-01
     22            5.273097e-01
     23            5.272882e-01
     24            5.272672e-01
     25            5.225537e-01
# GCROT residual history
# residual tolerance target = 1.000000e-04
# initial residual norm     = 6.600735e-01
# iters            rel. res.
      0            9.132476e-01
      1            8.242439e-01
      2            7.239841e-01
      3            6.217694e-01
      4            5.882801e-01
      5            5.511733e-01
      6            5.392937e-01
      7            4.686604e-01
      8            4.483369e-01
      9            4.197122e-01
     10            4.123979e-01
     11            4.092253e-01
     12            3.579415e-01
     13            3.460190e-01
     14            3.226803e-01
     15            3.225596e-01
     16            3.224843e-01
     17            2.991016e-01
     18            2.988074e-01
     19            2.777721e-01
     20            2.772472e-01
     21            2.768425e-01
     22            2.585656e-01
     23            2.584179e-01
     24            2.358439e-01
     25            2.356111e-01
# GCROT residual history
# residual tolerance target = 1.000000e-04
# initial residual norm     = 5.891115e-01
# iters            rel. res.
      0            9.571377e-01
      1            9.209227e-01
      2            8.178036e-01
      3            7.693486e-01
      4            6.570259e-01
      5            6.394745e-01
      6            6.237213e-01
      7            5.487094e-01
      8            5.274072e-01
      9            4.514102e-01
     10            4.510973e-01
     11            4.509113e-01
     12            3.799842e-01
     13            3.798157e-01
     14            3.269249e-01
     15            3.246004e-01
     16            3.232784e-01
     17            2.581297e-01
     18            2.571967e-01
     19            2.277083e-01
     20            2.269350e-01
     21            2.264382e-01
     22            2.044904e-01
     23            2.044896e-01
     24            1.907935e-01
     25            1.907876e-01
# Subspace cleared!
# GCROT residual history
# residual tolerance target = 9.500000e-04
# initial residual norm     = 6.412278e-01
# iters            rel. res.
      0            1.000000e+00
      1            9.446092e-01
      2            8.099081e-01
      3            7.802833e-01
      4            6.842404e-01
      5            6.257096e-01
      6            5.574251e-01
      7            5.304180e-01
      8            5.050190e-01
      9            4.552770e-01
     10            4.189351e-01
     11            4.096069e-01
     12            3.936288e-01
     13            3.903243e-01
     14            3.593690e-01
     15            3.475783e-01
     16            3.247985e-01
     17            3.160747e-01
     18            2.931517e-01
     19            2.699219e-01
     20            2.618282e-01
     21            2.518411e-01
     22            2.476625e-01
     23            2.262813e-01
     24            2.242993e-01
     25            1.948012e-01
# GCROT residual history
# residual tolerance target = 9.500000e-04
# initial residual norm     = 4.618492e+00
# iters            rel. res.
      0            9.786716e-01
      1            9.776234e-01
      2            7.889834e-01
      3            7.882243e-01
      4            6.401263e-01
      5            6.392650e-01
      6            5.898725e-01
      7            5.868196e-01
      8            5.839346e-01
      9            5.602045e-01
     10            5.601784e-01
     11            5.101492e-01
     12            4.944587e-01
     13            4.766747e-01
     14            4.671435e-01
     15            4.560252e-01
     16            4.327285e-01
     17            4.289064e-01
     18            4.247171e-01
     19            4.236236e-01
     20            4.202446e-01
     21            4.147722e-01
     22            4.085245e-01
     23            4.078987e-01
     24            4.073895e-01
     25            4.047313e-01
# GCROT residual history
# residual tolerance target = 1.000000e-04
# initial residual norm     = 1.651048e+00
# iters            rel. res.
      0            9.826505e-01
      1            8.747716e-01
      2            8.040041e-01
      3            5.057820e-01
      4            4.406635e-01
      5            4.036780e-01
      6            3.913404e-01
      7            3.599529e-01
      8            3.478618e-01
      9            3.004229e-01
     10            2.992830e-01
     11            2.986094e-01
     12            2.569661e-01
     13            2.567346e-01
     14            2.187014e-01
     15            2.178842e-01
     16            2.173203e-01
     17            1.993114e-01
     18            1.966294e-01
     19            1.534382e-01
     20            1.527333e-01
     21            1.520401e-01
     22            1.294345e-01
     23            1.282557e-01
     24            1.178270e-01
     25            1.178087e-01
# GCROT residual history
# residual tolerance target = 1.000000e-04
# initial residual norm     = 6.761949e-01
# iters            rel. res.
      0            7.144344e-01
      1            6.928279e-01
      2            6.100485e-01
      3            5.610651e-01
      4            4.616219e-01
      5            4.578899e-01
      6            4.543688e-01
      7            4.097224e-01
      8            4.096487e-01
      9            3.525903e-01
     10            3.516848e-01
     11            3.508405e-01
     12            3.179764e-01
     13            3.151125e-01
     14            2.746394e-01
     15            2.633764e-01
     16            2.547098e-01
     17            2.328732e-01
     18            2.301491e-01
     19            1.989532e-01
     20            1.988164e-01
     21            1.987101e-01
     22            1.747382e-01
     23            1.741382e-01
     24            1.626355e-01
     25            1.626049e-01
# GCROT residual history
# residual tolerance target = 1.000000e-04
# initial residual norm     = 9.643915e-01
# iters            rel. res.
      0            8.148890e-01
      1            7.861150e-01
      2            5.621178e-01
      3            5.505442e-01
      4            4.844075e-01
      5            4.515034e-01
      6            4.322798e-01
      7            4.128874e-01
      8            4.020130e-01
      9            3.678007e-01
     10            3.422418e-01
     11            3.296289e-01
     12            3.136127e-01
     13            2.970956e-01
     14            2.847327e-01
     15            2.705976e-01
     16            2.679865e-01
     17            2.522901e-01
     18            2.504460e-01
     19            2.368750e-01
     20            2.346018e-01
     21            2.340632e-01
     22            1.900762e-01
     23            1.877890e-01
     24            1.703822e-01
     25            1.597723e-01
# GCROT residual history
# residual tolerance target = 1.000000e-04
# initial residual norm     = 5.648929e-01
# iters            rel. res.
      0            4.128726e-01
      1            4.020658e-01
      2            2.855011e-01
      3            2.793923e-01
      4            2.319439e-01
      5            2.318568e-01
      6            2.317927e-01
      7            1.971876e-01
      8            1.970115e-01
      9            1.770506e-01
     10            1.763660e-01
     11            1.759197e-01
     12            1.522603e-01
     13            1.511476e-01
     14            1.279199e-01
     15            1.279030e-01
     16            1.278879e-01
     17            1.177261e-01
     18            1.176968e-01
     19            1.078707e-01
     20            1.071219e-01
     21            1.065836e-01
     22            9.864920e-02
     23            9.819846e-02
     24            9.163684e-02
     25            9.124048e-02
# GCROT residual history
# residual tolerance target = 1.000000e-04
# initial residual norm     = 1.265690e+00
# iters            rel. res.
      0            8.952470e-01
      1            8.928649e-01
      2            7.373717e-01
      3            7.352292e-01
      4            6.742231e-01
      5            6.715153e-01
      6            6.696399e-01
      7            6.344738e-01
      8            6.305834e-01
      9            5.985842e-01
     10            5.984383e-01
     11            5.982931e-01
     12            5.753415e-01
     13            5.753159e-01
     14            5.298544e-01
     15            5.156563e-01
     16            5.144615e-01
     17            4.032825e-01
     18            3.793660e-01
     19            3.521469e-01
     20            3.392641e-01
     21            3.316175e-01
     22            3.097599e-01
     23            2.956211e-01
     24            2.600416e-01
     25            2.525244e-01
# Subspace cleared!
# GCROT residual history
# residual tolerance target = 9.500000e-04
# initial residual norm     = 1.731557e+00
# iters            rel. res.
      0            1.000000e+00
      1            9.978537e-01
      2            5.089866e-01
      3            4.979378e-01
      4            3.414994e-01
      5            3.312023e-01
      6            2.769283e-01
      7            2.667587e-01
      8            2.111106e-01
      9            2.008988e-01
     10            1.774970e-01
     11            1.688010e-01
     12            1.640871e-01
     13            1.541720e-01
     14            1.461317e-01
     15            1.364888e-01
     16            1.252462e-01
     17            1.149935e-01
     18            1.084173e-01
     19            1.026708e-01
     20            9.904314e-02
     21            9.522358e-02
     22            9.270789e-02
     23            8.516922e-02
     24            8.385159e-02
     25            7.569447e-02
# GCROT residual history
# residual tolerance target = 9.500000e-04
# initial residual norm     = 5.689174e+00
# iters            rel. res.
      0            9.964504e-01
      1            9.961475e-01
      2            7.571571e-01
      3            7.571516e-01
      4            6.881875e-01
      5            6.876311e-01
      6            6.352600e-01
      7            6.349613e-01
      8            6.346649e-01
      9            6.119392e-01
     10            6.118549e-01
     11            5.825230e-01
     12            5.825129e-01
     13            5.579090e-01
     14            5.579071e-01
     15            5.426664e-01
     16            5.426382e-01
     17            5.203024e-01
     18            5.200036e-01
     19            5.197361e-01
     20            5.129410e-01
     21            5.128509e-01
     22            5.046852e-01
     23            5.041443e-01
     24            5.036470e-01
     25            4.956968e-01
# GCROT residual history
# residual tolerance target = 1.000000e-04
# initial residual norm     = 3.353513e+00
# iters            rel. res.
      0            9.921036e-01
      1            9.489662e-01
      2            8.535197e-01
      3            7.364531e-01
      4            7.310545e-01
      5            5.950925e-01
      6            5.902431e-01
      7            4.839606e-01
      8            4.838763e-01
      9            3.931216e-01
     10            3.924714e-01
     11            3.918628e-01
     12            3.326598e-01
     13            3.296886e-01
     14            2.864420e-01
     15            2.815027e-01
     16            2.777822e-01
     17            2.581709e-01
     18            2.579452e-01
     19            2.370893e-01
     20            2.346573e-01
     21            2.339998e-01
     22            2.130011e-01
     23            2.086074e-01
     24            1.994841e-01
     25            1.983206e-01
# GCROT residual history
# residual tolerance target = 1.000000e-04
# initial residual norm     = 8.627686e-01
# iters            rel. res.
      0            2.473310e-01
      1            2.318952e-01
      2            2.053813e-01
      3            1.841950e-01
      4            1.332623e-01
      5            1.188037e-01
      6            1.130661e-01
      7            9.762477e-02
      8            9.545138e-02
      9            8.553133e-02
     10            8.519855e-02
     11            8.487303e-02
     12            7.911701e-02
     13            7.817786e-02
     14            7.295155e-02
     15            7.294319e-02
     16            7.293559e-02
     17            6.853550e-02
     18            6.809401e-02
     19            6.506420e-02
     20            6.505765e-02
     21            6.505314e-02
     22            6.165705e-02
     23            6.117752e-02
     24            5.673900e-02
     25            5.668616e-02
# GCROT residual history
# residual tolerance target = 1.000000e-04
# initial residual norm     = 3.221761e+00
# iters            rel. res.
      0            9.190427e-01
      1            8.627752e-01
      2            7.184197e-01
      3            5.686212e-01
      4            5.093759e-01
      5            4.971065e-01
      6            4.861165e-01
      7            4.538649e-01
      8            4.179975e-01
      9            3.709952e-01
     10            3.706334e-01
     11            3.703143e-01
     12            3.211590e-01
     13            3.036518e-01
     14            2.664347e-01
     15            2.618750e-01
     16            2.584021e-01
     17            2.403432e-01
     18            2.401504e-01
     19            2.220351e-01
     20            2.124987e-01
     21            2.105455e-01
     22            1.807713e-01
     23            1.807288e-01
     24            1.691546e-01
     25            1.691154e-01
# GCROT residual history
# residual tolerance target = 1.000000e-04
# initial residual norm     = 1.265865e+00
# iters            rel. res.
      0            3.616707e-01
      1            3.607080e-01
      2            2.933400e-01
      3            2.842393e-01
      4            2.227948e-01
      5            1.977946e-01
      6            1.878581e-01
      7            1.539394e-01
      8            1.528777e-01
      9            1.366132e-01
     10            1.364900e-01
     11            1.364040e-01
     12            1.218173e-01
     13            1.167050e-01
     14            1.012081e-01
     15            9.600715e-02
     16            9.433106e-02
     17            8.463895e-02
     18            8.463776e-02
     19            7.811535e-02
     20            7.748961e-02
     21            7.688261e-02
     22            7.082282e-02
     23            7.080340e-02
     24            6.178282e-02
     25            6.012273e-02
# Subspace cleared!
# GCROT residual history
# residual tolerance target = 9.500000e-04
# initial residual norm     = 3.526450e+00
# iters            rel. res.
      0            1.000000e+00
      1            9.950786e-01
      2            3.522999e-01
      3            3.491182e-01
      4            1.653437e-01
      5            1.628720e-01
      6            1.032698e-01
      7            1.006307e-01
      8            7.982801e-02
      9            7.663508e-02
     10            6.452660e-02
     11            6.224420e-02
     12            5.749661e-02
     13            5.541085e-02
     14            5.063491e-02
     15            4.737039e-02
     16            4.027656e-02
     17            3.698848e-02
     18            3.358696e-02
     19            3.147266e-02
     20            3.042320e-02
     21            2.927149e-02
     22            2.811359e-02
     23            2.503238e-02
     24            2.447525e-02
     25            2.141448e-02
# GCROT residual history
# residual tolerance target = 9.500000e-04
# initial residual norm     = 4.051854e+00
# iters            rel. res.
      0            9.993599e-01
      1            9.993107e-01
      2            7.753897e-01
      3            7.753896e-01
      4            7.146392e-01
      5            7.146352e-01
      6            6.940625e-01
      7            6.938990e-01
      8            6.937362e-01
      9            6.809780e-01
     10            6.809637e-01
     11            6.526154e-01
     12            6.526154e-01
     13            6.383668e-01
     14            6.383575e-01
     15            6.331512e-01
     16            6.330697e-01
     17            6.190612e-01
     18            6.190602e-01
     19            6.190601e-01
     20            5.669138e-01
     21            5.669046e-01
     22            5.536971e-01
     23            5.536821e-01
     24            5.536721e-01
     25            5.470540e-01
# GCROT residual history
# residual tolerance target = 1.000000e-04
# initial residual norm     = 3.325332e+00
# iters            rel. res.
      0            9.981176e-01
      1            9.616136e-01
      2            8.732105e-01
      3            7.221272e-01
      4            7.137154e-01
      5            6.002316e-01
      6            5.943163e-01
      7            5.227555e-01
      8            5.133322e-01
      9            4.398480e-01
     10            4.387063e-01
     11            4.375892e-01
     12            3.914118e-01
     13            3.821348e-01
     14            2.983077e-01
     15            2.968683e-01
     16            2.954897e-01
     17            2.565299e-01
     18            2.547563e-01
     19            2.250865e-01
     20            2.249944e-01
     21            2.249339e-01
     22            1.766359e-01
     23            1.751283e-01
     24            1.409099e-01
     25            1.387981e-01
# GCROT residual history
# residual tolerance target = 1.000000e-04
# initial residual norm     = 4.303651e-01
# iters            rel. res.
      0            1.296133e-01
      1            1.277894e-01
      2            1.165005e-01
      3            1.153257e-01
      4            9.999068e-02
      5            9.855187e-02
      6            9.750874e-02
      7            9.066812e-02
      8            8.994375e-02
      9            7.944615e-02
     10            7.937066e-02
     11            7.931110e-02
     12            7.021471e-02
     13            6.925584e-02
     14            6.393616e-02
     15            6.335464e-02
     16            6.301217e-02
     17            5.835420e-02
     18            5.811919e-02
     19            5.472892e-02
     20            5.471832e-02
     21            5.471370e-02
     22            5.057690e-02
     23            5.042371e-02
     24            4.730615e-02
     25            4.721467e-02
# GCROT residual history
# residual tolerance target = 1.000000e-04
# initial residual norm     = 3.098124e+00
# iters            rel. res.
      0            9.358210e-01
      1            9.215756e-01
      2            5.163275e-01
      3            5.071133e-01
      4            4.174513e-01
      5            3.581343e-01
      6            3.561405e-01
      7            3.041533e-01
      8            3.035580e-01
      9            2.443796e-01
     10            2.400884e-01
     11            2.369911e-01
     12            1.876168e-01
     13            1.846743e-01
     14            1.566691e-01
     15            1.556850e-01
     16            1.547487e-01
     17            1.407062e-01
     18            1.379915e-01
     19            1.250425e-01
     20            1.188049e-01
     21            1.169133e-01
     22            8.517805e-02
     23            8.250367e-02
     24            7.271365e-02
     25            7.010087e-02
# GCROT residual history
# residual tolerance target = 1.000000e-04
# initial residual norm     = 1.170298e+00
# iters            rel. res.
      0            3.458711e-01
      1            3.289044e-01
      2            1.817486e-01
      3            1.689389e-01
      4            1.471771e-01
      5            1.330432e-01
      6            1.234367e-01
      7            1.098686e-01
      8            1.026506e-01
      9            7.158256e-02
     10            7.096710e-02
     11            7.069363e-02
     12            5.327099e-02
     13            5.298599e-02
     14            4.454423e-02
     15            4.076692e-02
     16            3.845636e-02
     17            3.546880e-02
     18            3.365208e-02
     19            2.974496e-02
     20            2.884413e-02
     21            2.834358e-02
     22            2.600990e-02
     23            2.361711e-02
     24            2.259158e-02
     25            2.058254e-02
# GCROT residual history
# residual tolerance target = 1.000000e-04
# initial residual norm     = 3.154783e+00
# iters            rel. res.
      0            9.133015e-01
      1            9.125139e-01
      2            4.767499e-01
      3            4.761685e-01
      4            3.704750e-01
      5            3.651729e-01
      6            3.603421e-01
      7            3.297819e-01
      8            3.235886e-01
      9            2.889691e-01
     10            2.727874e-01
     11            2.716812e-01
     12            2.182157e-01
     13            2.159656e-01
     14            1.985021e-01
     15            1.984897e-01
     16            1.984887e-01
     17            1.399803e-01
     18            1.399771e-01
     19            1.267512e-01
     20            1.266975e-01
     21            1.266845e-01
     22            9.693464e-02
     23            9.685116e-02
     24            7.583364e-02
     25            7.581397e-02
# GCROT residual history
# residual tolerance target = 1.000000e-04
# initial residual norm     = 1.446083e+00
# iters            rel. res.
      0            4.120389e-01
      1            4.031257e-01
      2            2.346888e-01
      3            2.312709e-01
      4            2.104752e-01
      5            2.059083e-01
      6            2.027025e-01
      7            1.904014e-01
      8            1.871111e-01
      9            1.703359e-01
     10            1.702339e-01
     11            1.701360e-01
     12            1.586110e-01
     13            1.583859e-01
     14            1.414010e-01
     15            1.413856e-01
     16            1.413772e-01
     17            1.206672e-01
     18            1.206134e-01
     19            1.090940e-01
     20            1.089908e-01
     21            1.089554e-01
     22            9.679005e-02
     23            9.659630e-02
     24            9.207746e-02
     25            9.165158e-02
# GCROT residual history
# residual tolerance target = 1.000000e-04
# initial residual norm     = 3.175064e+00
# iters            rel. res.
      0            9.042951e-01
      1            8.771099e-01
      2            6.339702e-01
      3            6.058780e-01
      4            5.687690e-01
      5            5.424421e-01
      6            5.326606e-01
      7            5.099591e-01
      8            5.057966e-01
      9            4.733580e-01
     10            4.696379e-01
     11            4.692276e-01
     12            3.403646e-01
     13            3.328829e-01
     14            2.715379e-01
     15            2.714225e-01
     16            2.713458e-01
     17            2.280229e-01
     18            2.265731e-01
     19            2.026536e-01
     20            2.014865e-01
     21            2.012845e-01
     22            1.321617e-01
     23            1.108223e-01
     24            1.005837e-01
     25            8.692396e-02
# GCROT residual history
# residual tolerance target = 1.000000e-04
# initial residual norm     = 1.454326e+00
# iters            rel. res.
      0            4.140277e-01
      1            4.054107e-01
      2            2.152225e-01
      3            2.120191e-01
      4            1.937000e-01
      5            1.936837e-01
      6            1.936674e-01
      7            1.874531e-01
      8            1.866487e-01
      9            1.814871e-01
     10            1.751153e-01
     11            1.749689e-01
     12            1.551763e-01
     13            1.549241e-01
     14            1.445590e-01
     15            1.443598e-01
     16            1.443268e-01
     17            1.078653e-01
     18            1.065795e-01
     19            9.911878e-02
     20            9.844233e-02
     21            9.805075e-02
     22            8.946526e-02
     23            8.918400e-02
     24            8.315395e-02
     25            8.313231e-02
# GCROT residual history
# residual tolerance target = 1.000000e-04
# initial residual norm     = 3.063366e+00
# iters            rel. res.
      0            8.716446e-01
      1            8.661746e-01
      2            5.145185e-01
      3            5.078630e-01
      4            4.188594e-01
      5            4.093618e-01
      6            4.014073e-01
      7            3.752853e-01
      8            3.752020e-01
      9            3.476934e-01
     10            3.463214e-01
     11            3.452031e-01
     12            3.284505e-01
     13            3.278629e-01
     14            2.988746e-01
     15            2.983085e-01
     16            2.981403e-01
     17            2.553909e-01
     18            2.547194e-01
     19            2.410968e-01
     20            2.408162e-01
     21            2.407954e-01
     22            1.364259e-01
     23            1.364075e-01
     24            1.166375e-01
     25            1.166311e-01
# GCROT residual history
# residual tolerance target = 1.000000e-04
# initial residual norm     = 1.701926e+00
# iters            rel. res.
      0            4.840155e-01
      1            4.754872e-01
      2            2.661319e-01
      3            2.638585e-01
      4            2.054492e-01
      5            2.008607e-01
      6            1.972805e-01
      7            1.827134e-01
      8            1.822014e-01
      9            1.736409e-01
     10            1.731538e-01
     11            1.727527e-01
     12            1.673309e-01
     13            1.672646e-01
     14            1.640131e-01
     15            1.628340e-01
     16            1.621871e-01
     17            1.604627e-01
     18            1.598305e-01
     19            1.578976e-01
     20            1.576878e-01
     21            1.576610e-01
     22            1.463349e-01
     23            1.463199e-01
     24            1.417124e-01
     25            1.415918e-01
# GCROT residual history
# residual tolerance target = 1.000000e-04
# initial residual norm     = 3.021508e+00
# iters            rel. res.
      0            8.588666e-01
      1            8.514535e-01
      2            4.611997e-01
      3            4.507131e-01
      4            3.371832e-01
      5            3.365469e-01
      6            3.360142e-01
      7            2.974604e-01
      8            2.973224e-01
      9            2.731067e-01
     10            2.710248e-01
     11            2.707910e-01
     12            1.747652e-01
     13            1.734400e-01
     14            1.546546e-01
     15            1.533345e-01
     16            1.526149e-01
     17            1.383106e-01
     18            1.377761e-01
     19            1.263470e-01
     20            1.259908e-01
     21            1.256562e-01
     22            1.224589e-01
     23            1.213590e-01
     24            1.177524e-01
     25            1.169733e-01
# Subspace cleared!
# GCROT residual history
# residual tolerance target = 9.500000e-04
# initial residual norm     = 8.014708e-01
# iters            rel. res.
      0            1.000000e+00
      1            9.922875e-01
      2            6.126133e-01
      3            6.020747e-01
      4            3.857811e-01
      5            3.776558e-01
      6            2.852512e-01
      7            2.745712e-01
      8            2.292193e-01
      9            2.189448e-01
     10            1.883126e-01
     11            1.821936e-01
     12            1.683448e-01
     13            1.630988e-01
     14            1.477403e-01
     15            1.398922e-01
     16            1.211568e-01
     17            1.084903e-01
     18            1.003400e-01
     19            9.284053e-02
     20            9.219794e-02
     21            8.694039e-02
     22            8.684263e-02
     23            7.486139e-02
     24            7.470601e-02
     25            5.858456e-02
# GCROT residual history
# residual tolerance target = 9.500000e-04
# initial residual norm     = 2.623994e+00
# iters            rel. res.
      0            9.992789e-01
      1            9.992687e-01
      2            9.343584e-01
